premise,hypothesis,label
Seekor anjing berwarna abu-abu sedang menjilati pohon tumbang di hutan.,seekor anjing ada di luar,0
"Seorang pria dan seorang gadis bermain Trivia Pursuit, di lantai di samping perapian.",Saudara kandung menikmati malam permainan,1
Mendorong pot bunga ke taman untuk menanam.,Tumbuhan di taman,0
"Seorang wanita, dengan pakaian cokelat, menyajikan minuman kepada seorang pria dengan kemeja bergaris.",Wanita itu sedang menyajikan minuman untuk pria itu.,0
Pemain sepak bola saling berjabat tangan di lapangan sepak bola.,Pemain sepak bola saling berjabat tangan di lapangan sepak bola sebelum pertandingan besar.,1
Truk monster ini melompati beberapa mobil.,Truk monster mundur.,2
Seorang pengendara sepeda gunung sedang berpacu melalui jalan setapak yang teduh.,Seseorang mengendarai sepeda di jalan setapak.,0
Pria berbaju hitam melempar kapak.,pria itu memakai kemeja biru,2
Sekelompok pria berdiri di sekitar berbicara di luar ruangan.,Beberapa pria berbicara tentang hasil penelitian setelah pertemuan.,1
Seorang pengendara sepeda motor dengan sepeda motor biru di trek balap.,Pria itu hanya memacu motornya yang berwarna hijau.,2
Pemain sepak bola dengan kemeja kotak-kotak sedang menggerakkan bola yang dikejar oleh pemain tim lawan.,Pemain sepak bola dengan kemeja kotak-kotak sedang menggerakkan bola,0
Seorang pria dan seorang wanita berada di tengah lapangan.,Dua orang saling berdekatan.,0
Seorang wanita melihat keluar jendela bus merah.,Seorang wanita sedang memandangi keluarganya di terminal bus.,1
Sekelompok orang sedang merajut.,Orang-orang bermain golf Frisbee di luar.,2
Dua orang melihat keluar jendela menonton radar.,Orang-orang menonton radar di luar.,0
Seorang pria berbaju putih sedang duduk di meja di luar.,Seorang pria sedang minum kopi di starbucks.,1
Seorang wanita berambut pirang yang mengenakan kemeja merah bernyanyi ke mikrofon dengan seorang pria yang mengenakan kemeja hitam dan dasi merah.,Dua orang yang mengenakan pakaian berwarna merah bernyanyi bersama di mikrofon.,0
Siluet seseorang yang melompat di udara saat matahari terbenam.,Seseorang duduk di tanah di tengah hari.,2
"Seorang wanita bule, mengenakan gaun hitam dan oranye, berdiri di depan stand musik.","Seorang wanita berdiri di depan stan musik, mengarahkan 13 anak di orkestra.",1
"Seorang pria mengoperasikan kios buah, terutama terdiri dari pisang.","Seorang pria mengoperasikan kios buah, terutama terdiri dari pisang dan stroberi.",1
Pria berbaju denim memesan barbekyu dari pedagang kaki lima.,Pria itu tidak lapar,2
"Seorang anak berlari di antara merpati, sementara seorang pria yang membawa tas mengawasi.",Seorang anak dan orang tua bermain dengan merpati.,1
Seorang gadis kecil duduk di wahana taman bermain.,Bocah itu meninggalkan wahana taman bermain.,2
Dua pria militer berinteraksi satu sama lain sambil memegang kabel kuning.,Orang-orang itu berada di Marinir,1
Pria bercelana pendek hitam dan berbaju hijau dengan nomor punggung 25 hendak menendang bola sepak.,Seorang pria sedang menendang bola sepak ke rekan setimnya.,1
Seorang anak laki-laki mengenakan saringan logam di kepalanya.,anak laki-laki itu memakai ap bola merah,2
Seorang wanita dengan kemeja berkerudung sedang mengukur tekanan darah seorang pria dengan kemeja kuning.,dua orang melakukan hal-hal medis,0
Seekor anjing yang lahir membawa buah di mulutnya sementara dua anjing lainnya mengikutinya.,Seekor bayi binatang berjalan di depan dan dua orang dewasa lainnya dari jenis yang sama mengikutinya.,0
Sekelompok pria dan anak laki-laki memuat dan mengikat barang-barang di bagian belakang dan di atas bus.,Ada sekelompok orang yang mengikat barang-barang ke dalam bus.,0
